name,developer,percent_positive,num_reviews,multiplayer,mature
Overcooked! 2,"Ghost Town Games Ltd.,Team17 Digital Ltd",81.0,4669.0,True,False
Dishonored 2,Arkane Studios,80.0,14274.0,False,False
FINAL FANTASY XIV Online Complete Edition (NA),Square Enix,75.0,4836.0,True,False
Warhammer: Vermintide 2,Fatshark,75.0,22740.0,False,True
Mortal Kombat 11,"NetherRealm Studios,QLOC,Shiver",59.0,6842.0,True,True
Squad,Offworld Industries,83.0,21514.0,True,False
Terraria,Re-Logic,96.0,201266.0,True,False
Cooking Simulator,Big Cheese Studio,75.0,1174.0,False,False
Kerbal Space Program,Squad,90.0,44559.0,False,False
DOOM Eternal,id Software,84.0,3247.0,True,True
Hearts of Iron IV,Paradox Development Studio,86.0,30585.0,True,False
Assassin's Creed® Odyssey,"Ubisoft Quebec,Ubisoft Montreal,Ubisoft Bucharest,Ubisoft Singapore,Ubisoft Montpellier,Ubisoft Kiev,Ubisoft Shanghai",81.0,21600.0,False,True
Touhou Luna Nights,"Vaka Game Magazine,Team Ladybug",97.0,3416.0,False,False
SMITE®,Titan Forge Games,79.0,44074.0,True,False
RimWorld,Ludeon Studios,97.0,31754.0,False,False
Stardew Valley,ConcernedApe,96.0,104530.0,True,False
ARK: Survival Evolved,"Studio Wildcard,Instinct Games,Efecto Studios,Virtual Basement LLC",69.0,168982.0,True,False
DARK SOULS™ II: Scholar of the First Sin,"FromSoftware, Inc",85.0,20901.0,True,False
Hunt Showdown,Crytek,76.0,22330.0,True,True
OCTOPATH TRAVELER™,"Square Enix,ACQUIRE Corp.",74.0,447.0,False,False
Arma 3,Bohemia Interactive,89.0,81705.0,True,False
MONSTER HUNTER: WORLD,"CAPCOM Co., Ltd.",68.0,62030.0,True,False
American Truck Simulator West Coast Bundle,SCS Software,95.0,223.0,False,False
Sekiro™: Shadows Die Twice,FromSoftware,86.0,18794.0,False,True
